question_text,option_a,option_b,option_c,correct_answer,difficulty
"Can you tell: Who won the 1970 FIFA World Cup?","Brazil","Germany","Italy","A","medium"
"Can you tell: What is Aston Villa's nickname?","The Villans","The Gunners","The Blues","A","medium"
"Can you tell: Which African country does Naby Keita represent?","Guinea","Nigeria","Egypt","A","medium"
"Can you tell: What is West Ham's nickname?","The Hammers","The Gunners","The Blues","A","medium"
"Football trivia: In which city is Juventus based?","Turin","Milan","Rome","A","medium"
"In football, what nationality is manager jurgen klopp?","Germany","Spain","Italy","A","medium"
"In football, what was paul pogba's transfer fee to manchester united in 2016?","79 million pounds","89 million pounds","99 million pounds","B","hard"
"In football, which club sold kylian mbappe to psg?","Lyon","Monaco","Marseille","B","hard"
"In football, what position does neymar play?","Forward","Midfielder","Defender","A","easy"
"In football, who won the 1978 fifa world cup?","Argentina","Brazil","Germany","A","medium"
"Can you tell: What is the home stadium of Athletic Bilbao?","San Mames","Santiago Bernabeu","Camp Nou","A","medium"
"Can you tell: Which player has appeared in the most World Cup matches?","Miroslav Klose","Lothar Matthaus","Lionel Messi","B","hard"
"Can you tell: Who won the 1950 FIFA World Cup?","Uruguay","Brazil","Germany","A","hard"
"Can you tell: Which country has won the most World Cup penalty shootouts?","Germany","Argentina","Brazil","A","hard"
"In football, which african country does samuel chukwueze represent?","Nigeria","Egypt","Senegal","A","medium"
"Football trivia: How many Ballon d'Or awards has Lionel Messi won?","6","7","8","C","easy"
"In football, in which german city is bayern munich based?","Munich","Dortmund","Leipzig","A","medium"
"Football trivia: Who won the 1978 FIFA World Cup?","Argentina","Brazil","Germany","A","medium"
"In football, who won the 1974 fifa world cup?","Germany","Brazil","Italy","A","medium"
"Football trivia: What is Everton's nickname?","The Toffees","The Gunners","The Blues","A","medium"
"In football, what is the home stadium of barcelona?","Camp Nou","Santiago Bernabeu","Wanda Metropolitano","A","medium"
"Can you tell: What is Wolves's nickname?","Wolves","The Gunners","The Blues","A","medium"
"Football trivia: Who won the 1966 FIFA World Cup?","England","Brazil","Germany","A","hard"
"Football trivia: What nationality is manager Xavi?","Spain","Germany","Italy","A","medium"
"Football trivia: Who won the 1934 FIFA World Cup?","Italy","Brazil","Germany","A","hard"
"Can you tell: What is Leicester City's nickname?","The Foxes","The Gunners","The Blues","A","medium"
"Football trivia: What nationality is manager Luis Enrique?","Spain","Germany","Italy","A","medium"
"Can you tell: In which year did Nigeria win their first Olympic gold medal in football?","1992","1996","2000","B","medium"
"In football, what nationality is manager carlo ancelotti?","Italy","Spain","Germany","A","medium"
"In football, who won the 2015 uefa champions league?","Barcelona","Real Madrid","Bayern Munich","A","medium"
"In football, what nationality is manager xavi?","Spain","Germany","Italy","A","medium"
"Can you tell: What is Everton's nickname?","The Toffees","The Gunners","The Blues","A","medium"
"Can you tell: What number did Cristiano Ronaldo wear at Real Madrid?","7","9","10","A","easy"
"Can you tell: Who won the 2023 Africa Cup of Nations?","Ivory Coast","Nigeria","Egypt","A","medium"
"In football, how many premier league titles has manchester city won under pep guardiola?","4","5","6","C","easy"
"In football, who won the 1930 fifa world cup?","Uruguay","Brazil","Germany","A","hard"
"Can you tell: Who was the captain of Nigeria's 1994 World Cup squad?","Rashidi Yekini","Stephen Keshi","Jay-Jay Okocha","B","medium"
"Can you tell: Which club did Zinedine Zidane manage to three consecutive Champions League titles?","Barcelona","Real Madrid","Bayern Munich","B","easy"
"Football trivia: Who is Nigeria's all-time top scorer in World Cup history?","Rashidi Yekini","Yakubu Aiyegbeni","Jay-Jay Okocha","A","medium"
"In football, who won the 2022 uefa champions league?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Can you tell: Who won the 2022 FIFA World Cup?","Argentina","Brazil","Germany","A","medium"
"In football, which player holds the record for most goals in a single premier league season?","Erling Haaland","Mohamed Salah","Alan Shearer","A","easy"
"Football trivia: Who won the 2023 Africa Cup of Nations?","Ivory Coast","Nigeria","Egypt","A","medium"
"Football trivia: What is Crystal Palace's nickname?","The Eagles","The Gunners","The Blues","A","medium"
"In football, how much did chelsea pay for enzo fernandez?","100 million pounds","107 million pounds","115 million pounds","B","hard"
"Football trivia: How many red cards result in a ban in the Premier League?","1 game minimum","2 games minimum","3 games minimum","A","easy"
"Football trivia: Who won the 1930 FIFA World Cup?","Uruguay","Brazil","Germany","A","hard"
"Can you tell: What position does Jude Bellingham play?","Midfielder","Forward","Defender","A","easy"
"Football trivia: What is Manchester United's nickname?","The Red Devils","The Gunners","The Blues","A","medium"
"Can you tell: What position does Cristiano Ronaldo play?","Forward","Midfielder","Defender","A","easy"
"Can you tell: Which Nigerian player is nicknamed 'The Entertainer'?","Nwankwo Kanu","Jay-Jay Okocha","Victor Moses","B","medium"
"Can you tell: What is Fulham's nickname?","The Cottagers","The Gunners","The Blues","A","medium"
"Football trivia: What is the home stadium of Manchester United?","Old Trafford","Emirates Stadium","Stamford Bridge","A","medium"
"Can you tell: Who won the 2014 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"In football, which country does mohamed salah represent?","Egypt","Argentina","Brazil","A","easy"
"In football, what is arsenal's nickname?","The Gunners","The Blues","The Reds","A","medium"
"Can you tell: What nationality is manager Jurgen Klopp?","Germany","Spain","Italy","A","medium"
"Football trivia: Who won the 2015 Africa Cup of Nations?","Ivory Coast","Nigeria","Egypt","A","medium"
"In football, what position does jude bellingham play?","Midfielder","Forward","Defender","A","easy"
"Can you tell: What nationality is manager Thomas Tuchel?","Germany","Spain","Italy","A","medium"
"In football, how many goals did erling haaland score in his debut premier league season?","36","32","28","A","easy"
"Football trivia: In which city is Napoli based?","Naples","Milan","Rome","A","medium"
"In football, what position does alisson play?","Goalkeeper","Forward","Midfielder","A","easy"
"In football, which country does thibaut courtois represent?","Belgium","Argentina","Brazil","A","easy"
"Football trivia: Which African country does Andre Onana represent?","Cameroon","Nigeria","Egypt","A","medium"
"In football, who won the 2020 uefa champions league?","Bayern Munich","Real Madrid","Barcelona","A","medium"
"Can you tell: Who won the 2019 UEFA Champions League?","Liverpool","Real Madrid","Barcelona","A","medium"
"Football trivia: Who won the 2012 UEFA Champions League?","Chelsea","Real Madrid","Barcelona","A","medium"
"Football trivia: Who won the 2014 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Football trivia: What nationality is manager Unai Emery?","Spain","Germany","Italy","A","medium"
"Can you tell: Which country does Thibaut Courtois represent?","Belgium","Argentina","Brazil","A","easy"
"Football trivia: Which country does Karim Benzema represent?","France","Argentina","Brazil","A","easy"
"Football trivia: How quickly was the fastest World Cup goal scored?","8 seconds","10.8 seconds","12 seconds","B","hard"
"In football, what position does son heung-min play?","Forward","Midfielder","Defender","A","easy"
"In football, what position does erling haaland play?","Striker","Forward","Midfielder","A","easy"
"In football, which nigerian scored at the 1998 world cup against spain?","Sunday Oliseh","Finidi George","Daniel Amokachi","A","medium"
"Can you tell: Who scored the fastest goal in World Cup history?","Vaclav Masek","Hakan Sukur","Ernst Lehner","B","hard"
"Football trivia: What number did David Beckham wear at Manchester United?","7","10","23","A","easy"
"Can you tell: What position does Harry Kane play?","Striker","Forward","Midfielder","A","easy"
"In football, which african country does hakim ziyech represent?","Morocco","Nigeria","Egypt","A","medium"
"Can you tell: Who is Nigeria's all-time top scorer in World Cup history?","Rashidi Yekini","Yakubu Aiyegbeni","Jay-Jay Okocha","A","medium"
"Football trivia: Which country does Sadio Mane represent?","Senegal","Argentina","Brazil","A","easy"
"Football trivia: What is Leicester City's nickname?","The Foxes","The Gunners","The Blues","A","medium"
"Football trivia: How many times has Nigeria won the Africa Cup of Nations?","2","3","4","B","medium"
"Can you tell: What is the home stadium of Aston Villa?","Villa Park","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: Which country does Vinicius Jr represent?","Brazil","Argentina","France","A","easy"
"In football, what is leicester city's nickname?","The Foxes","The Gunners","The Blues","A","medium"
"Can you tell: What is the home stadium of Real Madrid?","Santiago Bernabeu","Camp Nou","Wanda Metropolitano","A","medium"
"In football, who scored the most goals in a single world cup tournament?","Gerd Muller","Just Fontaine","Ronaldo","B","hard"
"In football, which african country does nicolas pepe represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"In football, what nationality is manager erik ten hag?","Netherlands","Spain","Germany","A","medium"
"Football trivia: What position does Bukayo Saka play?","Winger","Forward","Midfielder","A","easy"
"Can you tell: Which country does Son Heung-min represent?","South Korea","Argentina","Brazil","A","easy"
"Can you tell: In which German city is Wolfsburg based?","Wolfsburg","Munich","Dortmund","A","medium"
"Football trivia: What is the home stadium of Villarreal?","Estadio de la Ceramica","Santiago Bernabeu","Camp Nou","A","medium"
"Football trivia: Who is Nigeria's most expensive player transfer ever?","Victor Osimhen","Alex Iwobi","Kelechi Iheanacho","A","medium"
"In football, what is the home stadium of everton?","Goodison Park","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: Who won the 1974 FIFA World Cup?","Germany","Brazil","Italy","A","medium"
"Football trivia: What is the home stadium of Arsenal?","Emirates Stadium","Stamford Bridge","Anfield","A","medium"
"Football trivia: What is the home stadium of Tottenham?","Tottenham Hotspur Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"In football, what is the home stadium of wolves?","Molineux","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: Who won the 2019 Africa Cup of Nations?","Algeria","Nigeria","Egypt","A","medium"
"In football, who won the 1990 fifa world cup?","Germany","Brazil","Italy","A","medium"
"Football trivia: In which German city is Bayern Munich based?","Munich","Dortmund","Leipzig","A","medium"
"In football, what is the home stadium of chelsea?","Stamford Bridge","Emirates Stadium","Anfield","A","medium"
"Can you tell: Which country does Vinicius Jr represent?","Brazil","Argentina","France","A","easy"
"Football trivia: Who won the 1962 FIFA World Cup?","Brazil","Germany","Italy","A","hard"
"Can you tell: What position does Sadio Mane play?","Forward","Midfielder","Defender","A","easy"
"Football trivia: What was the transfer fee for Neymar from Barcelona to PSG?","180 million euros","222 million euros","200 million euros","B","hard"
"Football trivia: What number did Zinedine Zidane wear at Real Madrid?","5","10","7","A","easy"
"In football, what is liverpool's nickname?","The Reds","The Gunners","The Blues","A","medium"
"Football trivia: Which country does Erling Haaland represent?","Norway","Argentina","Brazil","A","easy"
"In football, what position does bukayo saka play?","Winger","Forward","Midfielder","A","easy"
"Football trivia: How much did Manchester City pay for Jack Grealish?","80 million pounds","100 million pounds","90 million pounds","B","hard"
"Can you tell: In which city is Atalanta based?","Bergamo","Milan","Rome","A","medium"
"Football trivia: Which Nigerian club won back-to-back CAF Champions League titles in 2003 and 2004?","Enyimba","Kano Pillars","Rangers","A","medium"
"Can you tell: Which city hosts the Nigeria Professional Football League headquarters?","Lagos","Abuja","Ibadan","B","medium"
"In football, which country has won the most world cup penalty shootouts?","Germany","Argentina","Brazil","A","hard"
"Football trivia: What nationality is manager Diego Simeone?","Argentina","Spain","Germany","A","medium"
"Can you tell: Which country does Neymar represent?","Brazil","Argentina","France","A","easy"
"In football, who won the 1998 fifa world cup?","France","Brazil","Germany","A","medium"
"Can you tell: Who won the 1966 FIFA World Cup?","England","Brazil","Germany","A","hard"
"Can you tell: Which African country does Samuel Chukwueze represent?","Nigeria","Egypt","Senegal","A","medium"
"Football trivia: Who won the 2010 Africa Cup of Nations?","Egypt","Nigeria","Senegal","A","medium"
"In football, which country does erling haaland represent?","Norway","Argentina","Brazil","A","easy"
"Football trivia: What is the home stadium of Newcastle?","St James' Park","Emirates Stadium","Stamford Bridge","A","medium"
"Can you tell: What is Brighton's nickname?","The Seagulls","The Gunners","The Blues","A","medium"
"In football, who won the 2023 ballon d'or?","Kylian Mbappe","Erling Haaland","Lionel Messi","C","easy"
"Can you tell: Which Nigerian won the African Footballer of the Year in 1996?","Jay-Jay Okocha","Nwankwo Kanu","Daniel Amokachi","B","medium"
"Football trivia: What is the home stadium of Fulham?","Craven Cottage","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: Who won the 2022 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Football trivia: What is West Ham's nickname?","The Hammers","The Gunners","The Blues","A","medium"
"Can you tell: What is the traditional number worn by a center-forward?","7","9","10","B","easy"
"Football trivia: How much did Chelsea pay for Enzo Fernandez?","100 million pounds","107 million pounds","115 million pounds","B","hard"
"Football trivia: Which Nigerian player is nicknamed 'The Entertainer'?","Nwankwo Kanu","Jay-Jay Okocha","Victor Moses","B","medium"
"Football trivia: What is Tottenham's nickname?","Spurs","The Gunners","The Blues","A","medium"
"Can you tell: What position does Virgil van Dijk play?","Defender","Forward","Midfielder","A","easy"
"Can you tell: What is Chelsea's nickname?","The Blues","The Gunners","The Reds","A","medium"
"Can you tell: In which city is Roma based?","Rome","Milan","Naples","A","medium"
"In football, which club sold gareth bale to real madrid?","Southampton","Tottenham","Manchester United","B","hard"
"Football trivia: What is the home stadium of Leicester City?","King Power Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"Can you tell: In which German city is Borussia Dortmund based?","Dortmund","Munich","Leipzig","A","medium"
"In football, which country does luka modric represent?","Croatia","Argentina","Brazil","A","easy"
"In football, what is the distance from the penalty spot to the goal line?","10 meters","11 meters","12 meters","C","easy"
"Can you tell: What is the home stadium of Brighton?","Amex Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: What nationality is manager Erik ten Hag?","Netherlands","Spain","Germany","A","medium"
"Can you tell: Which African country does Pierre-Emerick Aubameyang represent?","Gabon","Nigeria","Egypt","A","medium"
"In football, who won the 2010 uefa champions league?","Inter Milan","Real Madrid","Barcelona","A","medium"
"Football trivia: Which African country does Sadio Mane represent?","Senegal","Nigeria","Egypt","A","medium"
"In football, what position does sadio mane play?","Forward","Midfielder","Defender","A","easy"
"In football, what is the home stadium of tottenham?","Tottenham Hotspur Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"In football, what was the transfer fee for neymar from barcelona to psg?","180 million euros","222 million euros","200 million euros","B","hard"
"Can you tell: What nationality is manager Mikel Arteta?","Spain","Germany","Italy","A","medium"
"Football trivia: What is the home stadium of Aston Villa?","Villa Park","Emirates Stadium","Stamford Bridge","A","medium"
"In football, what position does luka modric play?","Midfielder","Forward","Defender","A","easy"
"Can you tell: What number did David Beckham wear at Manchester United?","7","10","23","A","easy"
"In football, how quickly was the fastest world cup goal scored?","8 seconds","10.8 seconds","12 seconds","B","hard"
"Football trivia: What is Aston Villa's nickname?","The Villans","The Gunners","The Blues","A","medium"
"Football trivia: What position does Mohamed Salah play?","Forward","Midfielder","Defender","A","easy"
"In football, who won the 2021 africa cup of nations?","Senegal","Nigeria","Egypt","A","medium"
"Football trivia: Who scored the most goals in a single World Cup tournament?","Gerd Muller","Just Fontaine","Ronaldo","B","hard"
"Can you tell: Who won the 2006 Africa Cup of Nations?","Egypt","Nigeria","Senegal","A","medium"
"Can you tell: Who won the 2010 FIFA World Cup?","Spain","Brazil","Germany","A","medium"
"Football trivia: Who won the 2020 UEFA Champions League?","Bayern Munich","Real Madrid","Barcelona","A","medium"
"In football, what is the maximum number of substitutions allowed in a premier league match?","3","5","4","B","easy"
"Football trivia: What number does Lionel Messi typically wear?","7","10","9","B","easy"
"Football trivia: Who won the 2013 UEFA Champions League?","Bayern Munich","Real Madrid","Barcelona","A","medium"
"In football, what is the home stadium of sevilla?","Ramon Sanchez Pizjuan","Santiago Bernabeu","Camp Nou","A","medium"
"Football trivia: What position does Neymar play?","Forward","Midfielder","Defender","A","easy"
"Football trivia: What position does Kylian Mbappe play?","Forward","Midfielder","Defender","A","easy"
"Can you tell: Which Nigerian club plays at the Teslim Balogun Stadium?","Shooting Stars","First Bank FC","Stationary Stores","A","medium"
"In football, which goalkeeper has the most clean sheets in premier league history?","David Seaman","Petr Cech","Peter Schmeichel","B","easy"
"Can you tell: Who won the 2008 Africa Cup of Nations?","Egypt","Nigeria","Senegal","A","medium"
"In football, which nigerian scored in the 2010 world cup against greece?","Yakubu Aiyegbeni","Kalu Uche","Peter Odemwingie","B","medium"
"Football trivia: Which country does Lionel Messi represent?","Argentina","Brazil","France","A","easy"
"Football trivia: Who was the captain of Nigeria's 1994 World Cup squad?","Rashidi Yekini","Stephen Keshi","Jay-Jay Okocha","B","medium"
"Football trivia: Which Nigerian scored in the 2010 World Cup against Greece?","Yakubu Aiyegbeni","Kalu Uche","Peter Odemwingie","B","medium"
"In football, which nigerian club plays at the teslim balogun stadium?","Shooting Stars","First Bank FC","Stationary Stores","A","medium"
"Can you tell: How wide is a standard football goal?","7.32 meters","8 meters","9 meters","A","easy"
"Can you tell: In which city is Juventus based?","Turin","Milan","Rome","A","medium"
"In football, what number did cristiano ronaldo wear at real madrid?","7","9","10","A","easy"
"Football trivia: Which African country does Wilfried Zaha represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"Football trivia: Who won the 2017 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"In football, what nationality is manager mikel arteta?","Spain","Germany","Italy","A","medium"
"Can you tell: Which country does Kevin De Bruyne represent?","Belgium","Argentina","Brazil","A","easy"
"Football trivia: What is Newcastle's nickname?","The Magpies","The Gunners","The Blues","A","medium"
"Football trivia: What is the height of a standard football goal?","2.44 meters","2.5 meters","3 meters","A","easy"
"In football, who won the 2012 africa cup of nations?","Zambia","Nigeria","Egypt","A","medium"
"Can you tell: What position does Alisson play?","Goalkeeper","Forward","Midfielder","A","easy"
"In football, who won the 2002 fifa world cup?","Brazil","Germany","Italy","A","medium"
"Can you tell: Who won the 2021 Africa Cup of Nations?","Senegal","Nigeria","Egypt","A","medium"
"Football trivia: Who won the 1958 FIFA World Cup?","Brazil","Germany","Italy","A","hard"
"Can you tell: In which German city is Bayer Leverkusen based?","Leverkusen","Munich","Dortmund","A","medium"
"Football trivia: How long is half-time in professional football?","10 minutes","15 minutes","20 minutes","B","easy"
"In football, what is the home stadium of real madrid?","Santiago Bernabeu","Camp Nou","Wanda Metropolitano","A","medium"
"In football, how many red cards result in a ban in the premier league?","1 game minimum","2 games minimum","3 games minimum","A","easy"
"In football, who won the 2006 africa cup of nations?","Egypt","Nigeria","Senegal","A","medium"
"Can you tell: What nationality is manager Unai Emery?","Spain","Germany","Italy","A","medium"
"In football, what nationality is manager thomas tuchel?","Germany","Spain","Italy","A","medium"
"In football, what position does robert lewandowski play?","Striker","Forward","Midfielder","A","easy"
"In football, which country does jude bellingham represent?","England","Argentina","Brazil","A","easy"
"Football trivia: Which club sold Gareth Bale to Real Madrid?","Southampton","Tottenham","Manchester United","B","hard"
"In football, who won the 1966 fifa world cup?","England","Brazil","Germany","A","hard"
"Can you tell: Which African country does Sadio Mane represent?","Senegal","Nigeria","Egypt","A","medium"
"Can you tell: Which English club completed the treble in 1998-99?","Liverpool","Manchester United","Arsenal","B","easy"
"In football, how much did manchester city pay for jack grealish?","80 million pounds","100 million pounds","90 million pounds","B","hard"
"Football trivia: Which club sold Kylian Mbappe to PSG?","Lyon","Monaco","Marseille","B","hard"
"Can you tell: Which country does Mohamed Salah represent?","Egypt","Argentina","Brazil","A","easy"
"In football, in which year did nigeria win their first olympic gold medal in football?","1992","1996","2000","B","medium"
"Football trivia: Who won the 2013 Africa Cup of Nations?","Nigeria","Egypt","Senegal","A","medium"
"Football trivia: Which African country does Nicolas Pepe represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"Football trivia: What is the distance from the penalty spot to the goal line?","10 meters","11 meters","12 meters","C","easy"
"Football trivia: What does VAR stand for?","Video Analysis Review","Video Assistant Referee","Virtual Assistance Replay","B","easy"
"Can you tell: Which country does Rodri represent?","Spain","Argentina","Brazil","A","easy"
"In football, which country does robert lewandowski represent?","Poland","Argentina","Brazil","A","easy"
"In football, who scored the fastest goal in world cup history?","Vaclav Masek","Hakan Sukur","Ernst Lehner","B","hard"
"Football trivia: How many goals did Miroslav Klose score in World Cup history?","14","16","18","B","hard"
"In football, which country does alisson represent?","Brazil","Argentina","France","A","easy"
"Football trivia: What was Paul Pogba's transfer fee to Manchester United in 2016?","79 million pounds","89 million pounds","99 million pounds","B","hard"
"In football, who won the 2018 uefa champions league?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Can you tell: How long is a football match including normal time?","80 minutes","90 minutes","100 minutes","B","easy"
"In football, what is manchester city's nickname?","The Citizens","The Gunners","The Blues","A","medium"
"In football, what is the home stadium of manchester united?","Old Trafford","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: What position does Vinicius Jr play?","Winger","Forward","Midfielder","A","easy"
"Can you tell: Who won the 2012 Africa Cup of Nations?","Zambia","Nigeria","Egypt","A","medium"
"Football trivia: Who won the 2019 UEFA Champions League?","Liverpool","Real Madrid","Barcelona","A","medium"
"In football, what is wolves's nickname?","Wolves","The Gunners","The Blues","A","medium"
"Football trivia: Who won the 2006 FIFA World Cup?","Italy","Brazil","Germany","A","medium"
"In football, who won the 2023 uefa champions league?","Manchester City","Real Madrid","Barcelona","A","medium"
"Football trivia: What position does Luka Modric play?","Midfielder","Forward","Defender","A","easy"
"Can you tell: Which Nigerian club won back-to-back CAF Champions League titles in 2003 and 2004?","Enyimba","Kano Pillars","Rangers","A","medium"
"In football, who won the 2014 uefa champions league?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"In football, what was cristiano ronaldo's transfer fee from man united to real madrid?","70 million pounds","80 million pounds","90 million pounds","B","hard"
"In football, which country does son heung-min represent?","South Korea","Argentina","Brazil","A","easy"
"Football trivia: What position does Harry Kane play?","Striker","Forward","Midfielder","A","easy"
"In football, what shirt number did thierry henry wear at arsenal?","9","12","14","C","easy"
"Can you tell: What nationality is manager Luis Enrique?","Spain","Germany","Italy","A","medium"
"Can you tell: What nationality is manager Erik ten Hag?","Netherlands","Spain","Germany","A","medium"
"Can you tell: Which African country does Andre Onana represent?","Cameroon","Nigeria","Egypt","A","medium"
"Can you tell: Who won the 2022 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Can you tell: Who won the 2019 Africa Cup of Nations?","Algeria","Nigeria","Egypt","A","medium"
"Can you tell: How many goals did Erling Haaland score in his debut Premier League season?","36","32","28","A","easy"
"In football, which nigerian goalkeeper held the record for most international caps?","Vincent Enyeama","Peter Rufai","Carl Ikeme","A","medium"
"Football trivia: What shirt number did Thierry Henry wear at Arsenal?","9","12","14","C","easy"
"Football trivia: Which English club completed the treble in 1998-99?","Liverpool","Manchester United","Arsenal","B","easy"
"Football trivia: In which city is Roma based?","Rome","Milan","Naples","A","medium"
"In football, in which city is juventus based?","Turin","Milan","Rome","A","medium"
"Football trivia: What is the traditional goalkeeper jersey number?","1","12","25","A","easy"
"In football, who won the 2022 fifa world cup?","Argentina","Brazil","Germany","A","medium"
"Can you tell: What color is shown for a direct red card?","Yellow","Red","Orange","B","easy"
"Football trivia: What position does Karim Benzema play?","Striker","Forward","Midfielder","A","easy"
"In football, who won the 2011 uefa champions league?","Barcelona","Real Madrid","Bayern Munich","A","medium"
"Can you tell: Who won the 1994 FIFA World Cup?","Brazil","Germany","Italy","A","medium"
"In football, what is everton's nickname?","The Toffees","The Gunners","The Blues","A","medium"
"Football trivia: Who won the 2021 Africa Cup of Nations?","Senegal","Nigeria","Egypt","A","medium"
"Football trivia: What is the home stadium of West Ham?","London Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"In football, who won the 2008 africa cup of nations?","Egypt","Nigeria","Senegal","A","medium"
"In football, what position does rodri play?","Midfielder","Forward","Defender","A","easy"
"In football, who scored the 'aguero moment' goal in 2012?","David Silva","Yaya Toure","Sergio Aguero","C","easy"
"Football trivia: What is the capacity of the MKO Abiola National Stadium?","40,000","60,000","80,000","B","medium"
"Football trivia: In which German city is RB Leipzig based?","Leipzig","Munich","Dortmund","A","medium"
"Football trivia: Who won the 2022 FIFA World Cup?","Argentina","Brazil","Germany","A","medium"
"Can you tell: In which German city is Bayern Munich based?","Munich","Dortmund","Leipzig","A","medium"
"Football trivia: Who won the 2010 UEFA Champions League?","Inter Milan","Real Madrid","Barcelona","A","medium"
"Can you tell: Which African country does Wilfried Zaha represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"Football trivia: How many goals did Just Fontaine score in the 1958 World Cup?","11","13","15","B","hard"
"Football trivia: Who won the 1950 FIFA World Cup?","Uruguay","Brazil","Germany","A","hard"
"Football trivia: Who won the 2018 FIFA World Cup?","France","Brazil","Germany","A","medium"
"Can you tell: What position does Rodri play?","Midfielder","Forward","Defender","A","easy"
"In football, who won the 1958 fifa world cup?","Brazil","Germany","Italy","A","hard"
"In football, what is west ham's nickname?","The Hammers","The Gunners","The Blues","A","medium"
"In football, which country does neymar represent?","Brazil","Argentina","France","A","easy"
"Football trivia: What is the home stadium of Atletico Madrid?","Wanda Metropolitano","Santiago Bernabeu","Camp Nou","A","medium"
"In football, what is the home stadium of crystal palace?","Selhurst Park","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: Which country has appeared in the most World Cup finals?","Brazil","Germany","Italy","B","hard"
"In football, in which german city is eintracht frankfurt based?","Frankfurt","Munich","Dortmund","A","medium"
"In football, what is the home stadium of arsenal?","Emirates Stadium","Stamford Bridge","Anfield","A","medium"
"Can you tell: Who won the 1962 FIFA World Cup?","Brazil","Germany","Italy","A","hard"
"Football trivia: What is the home stadium of Brighton?","Amex Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"In football, what nationality is manager unai emery?","Spain","Germany","Italy","A","medium"
"Football trivia: What position does Lionel Messi play?","Forward","Midfielder","Defender","A","easy"
"In football, who won the 2023 africa cup of nations?","Ivory Coast","Nigeria","Egypt","A","medium"
"Football trivia: In which city is Atalanta based?","Bergamo","Milan","Rome","A","medium"
"Can you tell: What position does Lionel Messi play?","Forward","Midfielder","Defender","A","easy"
"Football trivia: Which country does Thibaut Courtois represent?","Belgium","Argentina","Brazil","A","easy"
"Can you tell: How many goals did Miroslav Klose score in World Cup history?","14","16","18","B","hard"
"In football, which nigerian club won back-to-back caf champions league titles in 2003 and 2004?","Enyimba","Kano Pillars","Rangers","A","medium"
"In football, who won the 2013 uefa champions league?","Bayern Munich","Real Madrid","Barcelona","A","medium"
"In football, what is fulham's nickname?","The Cottagers","The Gunners","The Blues","A","medium"
"Football trivia: What was Cristiano Ronaldo's transfer fee from Man United to Real Madrid?","70 million pounds","80 million pounds","90 million pounds","B","hard"
"Can you tell: What position does Bukayo Saka play?","Winger","Forward","Midfielder","A","easy"
"Can you tell: How many red cards result in a ban in the Premier League?","1 game minimum","2 games minimum","3 games minimum","A","easy"
"Football trivia: Who won the 1954 FIFA World Cup?","Germany","Brazil","Italy","A","hard"
"Can you tell: Which country does Alisson represent?","Brazil","Argentina","France","A","easy"
"How many players are on a basketball team on court?","4","5","6","B","medium"
"Who is the NBA's all-time leading scorer?","Kareem Abdul-Jabbar","LeBron James","Michael Jordan","B","medium"
"How many points is a three-pointer worth?","2","3","4","B","medium"
"Which NBA team has won the most championships?","Los Angeles Lakers","Boston Celtics","Chicago Bulls","B","medium"
"Who is known as 'The King' in NBA?","Kobe Bryant","LeBron James","Stephen Curry","B","medium"
"How many NBA championships did Michael Jordan win?","4","5","6","C","medium"
"What is a 'triple-double' in basketball?","Three 3-pointers","Double figures in 3 stats","30 points","B","medium"
"Who holds the record for most points in a single NBA game?","Kobe Bryant","Michael Jordan","Wilt Chamberlain","C","medium"
"How many points did Wilt Chamberlain score in his record game?","81","100","92","B","medium"
"Which team won the 2023 NBA Championship?","Miami Heat","Denver Nuggets","Boston Celtics","B","medium"
"What is the height of an NBA basketball hoop?","10 feet","11 feet","12 feet","A","medium"
"Who is 'The Greek Freak'?","Luka Doncic","Giannis Antetokounmpo","Nikola Jokic","B","medium"
"What does NBA stand for?","National Basketball Association","North American Basketball Association","National Ball Association","A","medium"
