questionText,optionA,optionB,optionC,correctAnswer,difficulty,questionTextYoruba,optionAYoruba,optionBYoruba,optionCYoruba,questionTextHausa,optionAHausa,optionBHausa,optionCHausa,questionTextIgbo,optionAIgbo,optionBIgbo,optionCIgbo
Football trivia: What color is shown for a direct red card?,Yellow,Red,Orange,B,easy,Àlàyé nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Àwọ̀ wo ni a fi hàn fún káàdì pupa tààrà?,Yellow,Red,Orange,Takaitattun Labarai Kan Kwallon Kafa: Wane launi ne aka nuna don katin ja kai tsaye?,Yellow,Red,Orange,Ihe gbasara egwuregwu bọọlụ: Kedu agba e gosiri maka kaadị uhie kpọmkwem?,Yellow,Red,Orange
Can you tell: What is Manchester United's nickname?,The Red Devils,The Gunners,The Blues,A,medium,Ṣé o lè sọ: Kí ni orúkọ àpèlé Manchester United?,The Red Devils,The Gunners,The Blues,Za ku iya cewa: Menene sunan barkwanci na Manchester United?,The Red Devils,The Gunners,The Blues,Ị nwere ike ịmata: Gịnị bụ aha otutu Manchester United?,The Red Devils,The Gunners,The Blues
"In football, which country does cristiano ronaldo represent?",Portugal,Argentina,Brazil,A,easy,"Nínú bọ́ọ̀lù aláfẹ́sẹ̀gbá, orílẹ̀-èdè wo ni cristiano ronaldo dúró fún?",Portugal,Argentina,Brazil,"A fagen kwallon kafa, wace ƙasa ce cristiano ronaldo ke wakilta?",Portugal,Argentina,Brazil,"N'egwuregwu bọọlụ, kedu mba Cristiano Ronaldo na-anọchite anya?",Portugal,Argentina,Brazil
"In football, what nationality is manager luis enrique?",Spain,Germany,Italy,A,medium,"Nínú bọ́ọ̀lù aláfẹ́sẹ̀gbá, orílẹ̀-èdè wo ni olùdarí Luis Enrique?",Spain,Germany,Italy,"A ƙwallon ƙafa, wace ƙasa ce manaja Luis Enrique?",Spain,Germany,Italy,"N'egwuregwu bọọlụ, kedu mba onye njikwa bụ Luis Enrique?",Spain,Germany,Italy
Football trivia: Which African country does Riyad Mahrez represent?,Algeria,Nigeria,Egypt,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Orílẹ̀-èdè Áfíríkà wo ni Riyad Mahrez dúró fún?,Algeria,Nigeria,Egypt,Takaitattun Labarai Kan Kwallon Kafa: Wace ƙasa ce Riyad Mahrez ke wakilta a Afirka?,Algeria,Nigeria,Egypt,Akụkọ gbasara bọọlụ: Kedụ mba Afrịka Riyad Mahrez na-anọchite anya ya?,Algeria,Nigeria,Egypt
"In football, what is aston villa's nickname?",The Villans,The Gunners,The Blues,A,medium,"Nínú bọ́ọ̀lù, kí ni orúkọ àpèlé Aston Villa?",The Villans,The Gunners,The Blues,"A ƙwallon ƙafa, menene sunan barkwanci na Aston Villa?",The Villans,The Gunners,The Blues,"N'egwuregwu bọọlụ, kedu aha a na-akpọ Aston Villa?",The Villans,The Gunners,The Blues
Football trivia: Which goalkeeper has the most clean sheets in Premier League history?,David Seaman,Petr Cech,Peter Schmeichel,B,easy,Àwọn ọ̀rọ̀ pàtàkì nípa bọ́ọ̀lù alágbábọ́ọ̀lù: Agbábọ́ọ̀lù wo ló ní àmì tó mọ́ jùlọ nínú ìtàn Premier League?,David Seaman,Petr Cech,Peter Schmeichel,Takaitattun Labarai Kan Kwallon Kafa: Wane mai tsaron gida ne ya fi rashin zura kwallo a raga a tarihin gasar Premier?,David Seaman,Petr Cech,Peter Schmeichel,Akụkọ gbasara bọọlụ: Kedụ onye na-eche goolu kacha agba bọọlụ n'akụkọ ihe mere eme nke Premier League?,David Seaman,Petr Cech,Peter Schmeichel
Football trivia: How long is a football match including normal time?,80 minutes,90 minutes,100 minutes,B,easy,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Báwo ni ìdíje bọ́ọ̀lù aláfẹsẹ̀gbá ṣe máa pẹ́ tó pẹ̀lú àkókò déédéé?,80 minutes,90 minutes,100 minutes,"Takaitattun Labarai Kan Wasan Kwallon Kafa: Har yaushe wasan ƙwallon ƙafa zai kasance, har da lokacin da aka saba?",80 minutes,90 minutes,100 minutes,Ihe gbasara egwuregwu bọọlụ: Ogologo oge ole ka egwuregwu bọọlụ na-ewe ma e jiri ya tụnyere oge nkịtị?,80 minutes,90 minutes,100 minutes
Football trivia: Which Nigerian club plays at the Teslim Balogun Stadium?,Shooting Stars,First Bank FC,Stationary Stores,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ẹgbẹ́ wo ní Nàìjíríà ló ń gbá bọ́ọ̀lù ní Pápá ìṣeré Teslim Balogun?,Shooting Stars,First Bank FC,Stationary Stores,Takaitattun Labarai Kan Kwallon Kafa: Wace kungiya ce ta Najeriya ke bugawa a filin wasa na Teslim Balogun?,Shooting Stars,First Bank FC,Stationary Stores,Akụkọ gbasara bọọlụ: Kedụ klọb Naịjirịa na-egwu egwu na Teslim Balogun Stadium?,Shooting Stars,First Bank FC,Stationary Stores
Can you tell: Which African country does Kalidou Koulibaly represent?,Senegal,Nigeria,Egypt,A,medium,Ṣé o lè sọ fún mi: Orílẹ̀-èdè Áfíríkà wo ni Kalidou Koulibaly dúró fún?,Senegal,Nigeria,Egypt,Za ku iya faɗi: Wace ƙasa ce Kalidou Koulibaly ke wakilta a Afirka?,Senegal,Nigeria,Egypt,Ị nwere ike ịmata: Olee mba Afrịka Kalidou Koulibaly na-anọchite anya ya?,Senegal,Nigeria,Egypt
Can you tell: In which city is AC Milan based?,Milan,Turin,Rome,A,medium,Ṣé o lè sọ pé: Ìlú wo ni AC Milan wà?,Milan,Turin,Rome,Za ka iya cewa: A wane birni ne cibiyar AC Milan take?,Milan,Turin,Rome,Ị nwere ike ịmata: Olee obodo AC Milan dị?,Milan,Turin,Rome
Can you tell: Which African country does Achraf Hakimi represent?,Morocco,Nigeria,Egypt,A,medium,Ṣé o lè sọ fún mi: Orílẹ̀-èdè Áfíríkà wo ni Achraf Hakimi ń ṣojú fún?,Morocco,Nigeria,Egypt,Za ku iya sani: Wace ƙasa ce Achraf Hakimi ke wakilta?,Morocco,Nigeria,Egypt,Ị nwere ike ịmata: Olee mba Afrịka Achraf Hakimi na-anọchite anya ya?,Morocco,Nigeria,Egypt
"In football, what number did zinedine zidane wear at real madrid?",5,10,7,A,easy,"Nínú bọ́ọ̀lù aláfẹsẹ̀gbá, nọ́mbà wo ni zinedine zidane wọ̀ ní real madrid ?",5,10,7,"A ƙwallon ƙafa, wace lamba zinedine zidane ya saka a real madrid?",5,10,7,"N'egwuregwu bọọlụ, kedu nọmba zinedine zidane yi na real madrid?",5,10,7
"In football, who won the 1934 fifa world cup?",Italy,Brazil,Germany,A,hard,"Nínú bọ́ọ̀lù aláfẹ́sẹ̀gbá, ta ló gba ife àgbáyé FIFA ti ọdún 1934?",Italy,Brazil,Germany,"A ƙwallon ƙafa, wa ya lashe kofin duniya na FIFA a shekarar 1934?",Italy,Brazil,Germany,"N'egwuregwu bọọlụ, ònye meriri iko ụwa nke FIFA nke afọ 1934?",Italy,Brazil,Germany
Can you tell: Who won the 2017 UEFA Champions League?,Real Madrid,Barcelona,Bayern Munich,A,medium,Ṣé o lè sọ fún mi: Ta ló gba UEFA Champions League ti ọdún 2017?,Real Madrid,Barcelona,Bayern Munich,Za ku iya faɗi: Wanene ya lashe gasar zakarun Turai ta 2017?,Real Madrid,Barcelona,Bayern Munich,Ị nwere ike ịmata: Ònye meriri UEFA Champions League nke afọ 2017?,Real Madrid,Barcelona,Bayern Munich
"In football, who won the 2017 africa cup of nations?",Cameroon,Nigeria,Egypt,A,medium,"Nínú bọ́ọ̀lù aláfẹ́sẹ̀gbá, ta ló gba ife ẹ̀yẹ àwọn orílẹ̀-èdè ní Africa Cup of Nations ní ọdún 2017?",Cameroon,Nigeria,Egypt,"A fagen kwallon kafa, wa ya lashe gasar cin kofin kasashen Afirka ta 2017?",Cameroon,Nigeria,Egypt,"N'egwuregwu bọọlụ, ònye meriri iko mba Afrịka nke afọ 2017?",Cameroon,Nigeria,Egypt
Can you tell: What shirt number did Thierry Henry wear at Arsenal?,9,12,14,C,easy,Ṣé o lè mọ̀: Nọ́mbà aṣọ wo ni Thierry Henry wọ̀ ní Arsenal?,9,12,14,Za ku iya sani: Wace lamba ce Thierry Henry ya saka a Arsenal?,9,12,14,Ị nwere ike ịmata: Kedụ nọmba uwe elu Thierry Henry yi na Arsenal?,9,12,14
Football trivia: Which African country does Pierre-Emerick Aubameyang represent?,Gabon,Nigeria,Egypt,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Orílẹ̀-èdè Áfíríkà wo ni Pierre-Emerick Aubameyang dúró fún?,Gabon,Nigeria,Egypt,Takaitattun Labarai Kan Kwallon Kafa: Wace ƙasa ce Pierre-Emerick Aubameyang ke wakilta?,Gabon,Nigeria,Egypt,Akụkọ gbasara bọọlụ: Kedụ mba Afrịka Pierre-Emerick Aubameyang na-anọchite anya ya?,Gabon,Nigeria,Egypt
Football trivia: What nationality is manager Mikel Arteta?,Spain,Germany,Italy,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Orílẹ̀-èdè wo ni olùdarí Mikel Arteta?,Spain,Germany,Italy,Takaitattun Labarai Kan Kwallon Kafa: Wane ƙasa ne kocin Mikel Arteta?,Spain,Germany,Italy,Akụkọ gbasara bọọlụ: Kedụ mba onye njikwa bụ Mikel Arteta?,Spain,Germany,Italy
Football trivia: Which country does Alisson represent?,Brazil,Argentina,France,A,easy,Àwọn ọ̀rọ̀ pàtàkì nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Orílẹ̀-èdè wo ni Alisson dúró fún?,Brazil,Argentina,France,Takaitattun Labarai Kan Kwallon Kafa: Wace Kasa Ce Alisson Ke Wakilta?,Brazil,Argentina,France,Akụkọ gbasara bọọlụ: Olee mba Alisson na-anọchite anya ya?,Brazil,Argentina,France
Can you tell: What is the capacity of the MKO Abiola National Stadium?,"40,000","60,000","80,000",B,medium,Ṣé o lè sọ fún mi: Báwo ni Pápá Ìṣeré MKO Abiola ti Orílẹ̀-èdè ṣe lè tó?,"40,000","60,000","80,000",Za ku iya sani: Menene girman filin wasa na MKO Abiola?,"40,000","60,000","80,000",Ị nwere ike ịmata: Kedụ ka ámá egwuregwu mba MKO Abiola si eru?,"40,000","60,000","80,000"
Football trivia: Who won the 2006 Africa Cup of Nations?,Egypt,Nigeria,Senegal,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ta ló gba ife ẹ̀yẹ ilẹ̀ Áfíríkà ti ọdún 2006?,Egypt,Nigeria,Senegal,Takaitattun Labarai Kan Kwallon Kafa: Wa ya lashe Kofin Kasashen Afirka na 2006?,Egypt,Nigeria,Senegal,Akụkọ gbasara bọọlụ: Ònye meriri iko mba Afrịka nke afọ 2006?,Egypt,Nigeria,Senegal
Can you tell: Who won the 2010 UEFA Champions League?,Inter Milan,Real Madrid,Barcelona,A,medium,Ṣé o lè sọ fún mi: Ta ló gba UEFA Champions League ti ọdún 2010?,Inter Milan,Real Madrid,Barcelona,Za ku iya faɗi: Wanene ya lashe gasar zakarun Turai ta 2010?,Inter Milan,Real Madrid,Barcelona,Ị nwere ike ịmata: Ònye meriri na 2010 UEFA Champions League?,Inter Milan,Real Madrid,Barcelona
Can you tell: In which German city is RB Leipzig based?,Leipzig,Munich,Dortmund,A,medium,Ṣé o lè sọ fún mi: Ìlú Jámánì wo ni RB Leipzig ti ń gbé?,Leipzig,Munich,Dortmund,Za ku iya sani: A wane birni ne na Jamus yake da hedikwatar RB Leipzig?,Leipzig,Munich,Dortmund,Ị nwere ike ịmata: Olee obodo German dị na RB Leipzig?,Leipzig,Munich,Dortmund
"In football, what number does kylian mbappe wear?",7,10,9,A,easy,"Nínú bọ́ọ̀lù, nọ́mbà wo ni kylian mbappe máa ń wọ̀?",7,10,9,"A ƙwallon ƙafa, wace lamba Kylian mbappe ke sakawa?",7,10,9,"N'egwuregwu bọọlụ, kedu nọmba kylian mbappe na-eyi?",7,10,9
"In football, which country has appeared in the most world cup finals?",Brazil,Germany,Italy,B,hard,"Nínú bọ́ọ̀lù agbábọ́ọ̀lù, orílẹ̀-èdè wo ló ti fara hàn ní àwọn ìdíje tó pọ̀ jùlọ ní ìdíje ife-ẹ̀yẹ àgbáyé?",Brazil,Germany,Italy,"A ƙwallon ƙafa, wace ƙasa ce ta fito a mafi yawan wasannin ƙarshe na gasar cin kofin duniya?",Brazil,Germany,Italy,"N'egwuregwu bọọlụ, kedu mba pụtara na asọmpi iko mba ụwa kachasị?",Brazil,Germany,Italy
"In football, in which city is lazio based?",Rome,Milan,Naples,A,medium,"Nínú bọ́ọ̀lù aláfẹ́sẹ̀gbá, ìlú wo ni àwọn aláàfẹ́ ń gbé?",Rome,Milan,Naples,"A ƙwallon ƙafa, a wane birni ne ake samun lalaci?",Rome,Milan,Naples,"N'egwuregwu bọọlụ, kedu obodo ndị lazio bi?",Rome,Milan,Naples
Can you tell: What nationality is manager Xavi?,Spain,Germany,Italy,A,medium,Ṣé o lè sọ: Orílẹ̀-èdè wo ni olùdarí Xavi?,Spain,Germany,Italy,Za ku iya faɗi: Wace ƙasa ce manaja Xavi?,Spain,Germany,Italy,Ị nwere ike ịmata: Kedụ mba onye njikwa Xavi bụ?,Spain,Germany,Italy
Can you tell: Who won the 2012 UEFA Champions League?,Chelsea,Real Madrid,Barcelona,A,medium,Ṣé o lè sọ fún mi: Ta ló gba UEFA Champions League ti ọdún 2012?,Chelsea,Real Madrid,Barcelona,Za ku iya faɗi: Wanene ya lashe gasar zakarun Turai ta 2012?,Chelsea,Real Madrid,Barcelona,Ị nwere ike ịmata: Ònye meriri UEFA Champions League nke afọ 2012?,Chelsea,Real Madrid,Barcelona
Football trivia: Who won the 1994 FIFA World Cup?,Brazil,Germany,Italy,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ta ló gba ife àgbáyé FIFA ti ọdún 1994?,Brazil,Germany,Italy,Takaitattun Labarai Kan Kwallon Kafa: Wa ya lashe Kofin Duniya na FIFA na 1994?,Brazil,Germany,Italy,Akụkọ gbasara bọọlụ: Ònye meriri iko mba ụwa nke FIFA nke afọ 1994?,Brazil,Germany,Italy
"In football, what is the traditional goalkeeper jersey number?",1,12,25,A,easy,"Nínú bọ́ọ̀lù agbábọ́ọ̀lù, kí ni nọ́mbà aṣọ agbábọ́ọ̀lù ìbílẹ̀?",1,12,25,"A ƙwallon ƙafa, nawa ne lambar rigar mai tsaron gida ta gargajiya?",1,12,25,"N'egwuregwu bọọlụ, kedu nọmba uwe onye nche goolu ọdịnala?",1,12,25
Can you tell: What is the home stadium of Wolves?,Molineux,Emirates Stadium,Stamford Bridge,A,medium,Ṣé o lè sọ fún mi: Kí ni pápá ìṣeré Wolves?,Molineux,Emirates Stadium,Stamford Bridge,Za ku iya faɗi: Menene filin wasan gida na Wolves?,Molineux,Emirates Stadium,Stamford Bridge,Ị nwere ike ịmata: Gịnị bụ ebe egwuregwu Wolves dị?,Molineux,Emirates Stadium,Stamford Bridge
Football trivia: What position does Robert Lewandowski play?,Striker,Forward,Midfielder,A,easy,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ipò wo ni Robert Lewandowski ń kó?,Striker,Forward,Midfielder,Takaitattun Labarai Kan Kwallon Kafa: Wane matsayi Robert Lewandowski ke taka leda?,Striker,Forward,Midfielder,Akụkọ gbasara bọọlụ: Kedụ ọnọdụ Robert Lewandowski na-egwu?,Striker,Forward,Midfielder
Football trivia: Who won the 2012 Africa Cup of Nations?,Zambia,Nigeria,Egypt,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ta ló gba ife ẹ̀yẹ Áfíríkà ti ọdún 2012?,Zambia,Nigeria,Egypt,Takaitattun Labarai Kan Kwallon Kafa: Wa Ya Lashe Kofin Kasashen Afirka Na 2012?,Zambia,Nigeria,Egypt,Akụkọ gbasara bọọlụ: Ònye meriri iko mba Afrịka nke afọ 2012?,Zambia,Nigeria,Egypt
Can you tell: Which country does Karim Benzema represent?,France,Argentina,Brazil,A,easy,Ṣé o lè sọ fún mi: Orílẹ̀-èdè wo ni Karim Benzema dúró fún?,France,Argentina,Brazil,Za ku iya sani: Wace ƙasa Karim Benzema ke wakilta?,France,Argentina,Brazil,Ị nwere ike ịmata: Olee mba Karim Benzema na-anọchite anya?,France,Argentina,Brazil
Football trivia: How many goals did Erling Haaland score in his debut Premier League season?,36,32,28,A,easy,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Àwọn góólù mélòó ni Erling Haaland gba ní àsìkò àkọ́kọ́ rẹ̀ ní Premier League?,36,32,28,Takaitattun Labarai Kan Kwallon Kafa: Nawa ne kwallaye Erling Haaland ya ci a kakarsa ta farko a gasar Premier?,36,32,28,Akụkọ gbasara bọọlụ: Erling Haaland nyere goolu ole n'oge mbụ ya na Premier League?,36,32,28
Football trivia: Who won the 2011 UEFA Champions League?,Barcelona,Real Madrid,Bayern Munich,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ta ló gba UEFA Champions League ti ọdún 2011?,Barcelona,Real Madrid,Bayern Munich,Takaitattun Labarai Kan Kwallon Kafa: Wa Ya Lashe Gasar Zakarun Turai Ta UEFA Ta 2011?,Barcelona,Real Madrid,Bayern Munich,Akụkọ gbasara bọọlụ: Ònye meriri asọmpi UEFA Champions League nke afọ 2011?,Barcelona,Real Madrid,Bayern Munich
Can you tell: In which city is Lazio based?,Rome,Milan,Naples,A,medium,Ṣé o lè sọ pé: Ìlú wo ni Lazio wà?,Rome,Milan,Naples,Za ka iya sani: A wane birni ne Lazio take da hedikwata?,Rome,Milan,Naples,Ị nwere ike ịmata: Olee obodo Lazio dị?,Rome,Milan,Naples
Football trivia: In which year did Nigeria win their first Olympic gold medal in football?,1992,1996,2000,B,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ní ọdún wo ni Nàìjíríà gba àmì-ẹ̀yẹ wúrà Olympic àkọ́kọ́ wọn nínú bọ́ọ̀lù aláfẹsẹ̀gbá?,1992,1996,2000,Takaitattun Labarai Kan Kwallon Kafa: A wace shekara Najeriya ta lashe lambar zinare ta farko a gasar Olympics a kwallon kafa?,1992,1996,2000,Akụkọ gbasara bọọlụ: N'afọ ole ka Naịjirịa meriri ihe nrite ọlaedo mbụ ha n'egwuregwu bọọlụ n'egwuregwu Olympic?,1992,1996,2000
Football trivia: What position does Son Heung-min play?,Forward,Midfielder,Defender,A,easy,Àwọn ọ̀rọ̀ àròyé nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ipò wo ni Son Heung-min ń gbá?,Forward,Midfielder,Defender,Takaitattun Labarai Kan Kwallon Kafa: Wane matsayi Son Heung-min ke taka leda?,Forward,Midfielder,Defender,Akụkọ gbasara bọọlụ: Kedụ ọnọdụ Son Heung-min na-egwu?,Forward,Midfielder,Defender
Can you tell: What position does Luka Modric play?,Midfielder,Forward,Defender,A,easy,Ṣé o lè sọ pé: Ipò wo ni Luka Modric ń gbé?,Midfielder,Forward,Defender,Za ku iya sani: Wane matsayi Luka Modric ke taka leda?,Midfielder,Forward,Defender,Ị nwere ike ịmata: Kedụ ọnọdụ Luka Modric na-arụ?,Midfielder,Forward,Defender
Football trivia: What position does Kevin De Bruyne play?,Midfielder,Forward,Defender,A,easy,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Ipò wo ni Kevin De Bruyne ń gbá?,Midfielder,Forward,Defender,Takaitattun Labarai Kan Kwallon Kafa: Wane matsayi Kevin De Bruyne ke taka leda?,Midfielder,Forward,Defender,Akụkọ gbasara bọọlụ: Kedụ ọkwa Kevin De Bruyne na-egwu?,Midfielder,Forward,Defender
"In football, how wide is a standard football goal?",7.32 meters,8 meters,9 meters,A,easy,"Nínú bọ́ọ̀lù agbábọ́ọ̀lù, báwo ni góólù bọ́ọ̀lù agbábọ́ọ̀lù agbábọ́ọ̀lù ṣe fẹ̀ tó?",7.32 meters,8 meters,9 meters,"A ƙwallon ƙafa, yaya faɗin burin ƙwallon ƙafa na yau da kullun yake?",7.32 meters,8 meters,9 meters,"N'egwuregwu bọọlụ, olee otú ihe mgbaru ọsọ bọọlụ nkịtị si obosara?",7.32 meters,8 meters,9 meters
Football trivia: What is the home stadium of Real Betis?,Benito Villamarin,Santiago Bernabeu,Camp Nou,A,medium,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Kí ni pápá ìṣeré ilé Real Betis?,Benito Villamarin,Santiago Bernabeu,Camp Nou,Takaitattun Labarai Kan Wasan Kwallon Kafa: Menene filin wasan Real Betis?,Benito Villamarin,Santiago Bernabeu,Camp Nou,Akụkọ gbasara bọọlụ: Kedu ebe egwuregwu Real Betis dị?,Benito Villamarin,Santiago Bernabeu,Camp Nou
Can you tell: What position does Erling Haaland play?,Striker,Forward,Midfielder,A,easy,Ṣe o le sọ: Ipo wo ni Erling Haaland n ṣiṣẹ?,Striker,Forward,Midfielder,Za ku iya faɗi: Wane matsayi Erling Haaland ke taka leda?,Striker,Forward,Midfielder,Ị nwere ike ịmata: Kedụ ọnọdụ Erling Haaland na-egwu?,Striker,Forward,Midfielder
"In football, what is the home stadium of aston villa?",Villa Park,Emirates Stadium,Stamford Bridge,A,medium,"Nínú bọ́ọ̀lù, kí ni pápá ìṣeré aston villa?",Villa Park,Emirates Stadium,Stamford Bridge,"A fagen ƙwallon ƙafa, menene filin wasan gida na Aston Villa?",Villa Park,Emirates Stadium,Stamford Bridge,"N'egwuregwu bọọlụ, kedu ebe egwuregwu Aston Villa dị?",Villa Park,Emirates Stadium,Stamford Bridge
"In football, which country does kevin de bruyne represent?",Belgium,Argentina,Brazil,A,easy,"Nínú bọ́ọ̀lù aláfẹ́sẹ̀gbá, orílẹ̀-èdè wo ni Kevin de Bruyne dúró fún?",Belgium,Argentina,Brazil,"A fagen kwallon kafa, wace ƙasa ce Kevin de Bruyne ke wakilta?",Belgium,Argentina,Brazil,"N'egwuregwu bọọlụ, kedu mba Kevin de Bruyne na-anọchite anya?",Belgium,Argentina,Brazil
Can you tell: Which country does Kylian Mbappe represent?,France,Argentina,Brazil,A,easy,Ṣé o lè sọ fún mi: Orílẹ̀-èdè wo ni Kylian Mbappe dúró fún?,France,Argentina,Brazil,Za ku iya sani: Wace ƙasa Kylian Mbappe ke wakilta?,France,Argentina,Brazil,Ị nwere ike ịmata: Kedụ mba Kylian Mbappe na-anọchite anya ya?,France,Argentina,Brazil
Can you tell: Who won the 1954 FIFA World Cup?,Germany,Brazil,Italy,A,hard,Ṣé o lè sọ fún mi: Ta ló gba ife àgbáyé FIFA ti ọdún 1954?,Germany,Brazil,Italy,Za ku iya faɗi: Wanene ya lashe Kofin Duniya na FIFA na 1954?,Germany,Brazil,Italy,Ị nwere ike ịmata: Ònye meriri iko mba ụwa FIFA nke afọ 1954?,Germany,Brazil,Italy
"In football, in which city is inter milan based?",Milan,Turin,Rome,A,medium,"Nínú bọ́ọ̀lù aláfẹ́sẹ̀gbá, ìlú wo ni ó wà ní àárín gbùngbùn milan ?",Milan,Turin,Rome,"A fannin ƙwallon ƙafa, a wace birni ne ƙungiyar Inter Milan take?",Milan,Turin,Rome,"N'egwuregwu bọọlụ, kedu obodo dị n'etiti Milan na mba ụwa?",Milan,Turin,Rome
Can you tell: Who won the 1978 FIFA World Cup?,Argentina,Brazil,Germany,A,medium,Ṣé o lè sọ fún mi: Ta ló gba ife àgbáyé FIFA ti ọdún 1978?,Argentina,Brazil,Germany,Za ku iya faɗi: Wanene ya lashe Kofin Duniya na FIFA na 1978?,Argentina,Brazil,Germany,Ị nwere ike ịmata: Ònye meriri iko mba ụwa nke FIFA nke afọ 1978?,Argentina,Brazil,Germany
Can you tell: What is the home stadium of Chelsea?,Stamford Bridge,Emirates Stadium,Anfield,A,medium,Ṣé o lè sọ fún mi: Kí ni pápá ìṣeré Chelsea?,Stamford Bridge,Emirates Stadium,Anfield,Za ku iya sani: Menene filin wasan Chelsea na gida?,Stamford Bridge,Emirates Stadium,Anfield,Ị nwere ike ịmata: Gịnị bụ ámá egwuregwu Chelsea?,Stamford Bridge,Emirates Stadium,Anfield
Can you tell: Who scored the 'Aguero moment' goal in 2012?,David Silva,Yaya Toure,Sergio Aguero,C,easy,Ṣé o lè sọ: Ta ló gba góólù 'Aguero moment' ní ọdún 2012?,David Silva,Yaya Toure,Sergio Aguero,Za ku iya sani: Wanene ya zura kwallon 'Aguero moment' a shekarar 2012?,David Silva,Yaya Toure,Sergio Aguero,Ị nwere ike ịmata: Ònye nyere goolu 'Aguero moment' na 2012?,David Silva,Yaya Toure,Sergio Aguero
"In football, what is the home stadium of fulham?",Craven Cottage,Emirates Stadium,Stamford Bridge,A,medium,"Nínú bọ́ọ̀lù, kí ni pápá ìṣeré fulham?",Craven Cottage,Emirates Stadium,Stamford Bridge,"A wasan ƙwallon ƙafa, menene filin wasan gida na fulham?",Craven Cottage,Emirates Stadium,Stamford Bridge,"N'egwuregwu bọọlụ, kedu ebe egwuregwu Fulham dị?",Craven Cottage,Emirates Stadium,Stamford Bridge
"In football, what position does thibaut courtois play?",Goalkeeper,Forward,Midfielder,A,easy,"Nínú bọ́ọ̀lù, ipò wo ni thibaut Courtois ń kópa?",Goalkeeper,Forward,Midfielder,"A ƙwallon ƙafa, wane matsayi thibaut Courtois ke taka leda?",Goalkeeper,Forward,Midfielder,"N'egwuregwu bọọlụ, kedu ọnọdụ Thibaut Courtois na-arụ?",Goalkeeper,Forward,Midfielder
"In football, which african country does sadio mane represent?",Senegal,Nigeria,Egypt,A,medium,"Nínú bọ́ọ̀lù aláfẹ́sẹ̀gbá, orílẹ̀-èdè Áfíríkà wo ni Sadio Mane dúró fún?",Senegal,Nigeria,Egypt,"A ƙwallon ƙafa, wace ƙasa ce ta Afirka Sadio Mane ke wakilta?",Senegal,Nigeria,Egypt,"N'egwuregwu bọọlụ, kedu mba Afrịka ka Sadio Mane na-anọchite anya?",Senegal,Nigeria,Egypt
Can you tell: What is the height of a standard football goal?,2.44 meters,2.5 meters,3 meters,A,easy,Ṣé o lè sọ: Kí ni gíga góólù bọ́ọ̀lù àfẹsẹ̀gbá kan?,2.44 meters,2.5 meters,3 meters,Za ku iya faɗi: Menene tsawon burin ƙwallon ƙafa na yau da kullun?,2.44 meters,2.5 meters,3 meters,Ị nwere ike ịmata: Kedụ ka ihe mgbaru ọsọ bọọlụ nkịtị dị?,2.44 meters,2.5 meters,3 meters
Football trivia: Which country does Neymar represent?,Brazil,Argentina,France,A,easy,Àròjinlẹ̀ nípa bọ́ọ̀lù aláfẹsẹ̀gbá: Orílẹ̀-èdè wo ni Neymar ń ṣojú fún?,Brazil,Argentina,France,Takaitattun Labarai Kan Kwallon Kafa: Wace Kasa Neimar Ke Wakilta?,Brazil,Argentina,France,Akụkọ gbasara bọọlụ: Kedụ mba Neymar na-anọchite anya ya?,Brazil,Argentina,France
Can you tell: Which country does Jude Bellingham represent?,England,Argentina,Brazil,A,easy,Ṣé o lè sọ fún mi: Orílẹ̀-èdè wo ni Jude Bellingham dúró fún?,England,Argentina,Brazil,Za ku iya faɗi: Wace ƙasa ce Jude Bellingham ke wakilta?,England,Argentina,Brazil,Ị nwere ike ịmata: Olee mba Jude Bellingham na-anọchite anya ya?,England,Argentina,Brazil
