questionText,optionA,optionB,optionC,correctAnswer,difficulty,questionTextYoruba,optionAYoruba,optionBYoruba,optionCYoruba,questionTextHausa,optionAHausa,optionBHausa,optionCHausa,questionTextIgbo,optionAIgbo,optionBIgbo,optionCIgbo
"In football, how much did manchester city pay for jack grealish?",80 million pounds,100 million pounds,90 million pounds,B,hard,"Nínú b????lù aláf??s??gbá, iye owó wo ni Manchester City san fún Jack Grealish?",80 million pounds,100 million pounds,90 million pounds,"A ?wallon ?afa, nawa ne manchester city ta biya don Jack Grealish?",80 million pounds,100 million pounds,90 million pounds,"N'egwuregwu b??l?, ego ole ka Manchester City kw?r? maka Jack Grealish?",80 million pounds,100 million pounds,90 million pounds
Football trivia: Which club sold Kylian Mbappe to PSG?,Lyon,Monaco,Marseille,B,hard,Àròjinl?? nípa b????lù aláf?s??gbá: ?gb?? wo ló ta Kylian Mbappe fún PSG?,Lyon,Monaco,Marseille,Takaitattun Labarai Kan Kwallon Kafa: Wace kungiya ce ta sayar da Kylian Mbappe ga PSG?,Lyon,Monaco,Marseille,Ak?k? gbasara b??l?: Ked? kl?b rere Kylian Mbappe nye PSG?,Lyon,Monaco,Marseille
Can you tell: Which country does Mohamed Salah represent?,Egypt,Argentina,Brazil,A,easy,?é o lè s? fún mi: Oríl??-èdè wo ni Mohamed Salah dúró fún?,Egypt,Argentina,Brazil,Za ku iya sani: Wace ?asa ce Mohamed Salah ke wakilta?,Egypt,Argentina,Brazil,? nwere ike ?mata: Olee mba Mohamed Salah n?chitere anya ya?,Egypt,Argentina,Brazil
"In football, in which year did nigeria win their first olympic gold medal in football?",1992,1996,2000,B,medium,"Nínú b????lù agbáb????lù, ní ?dún wo ni Nàìjíríà gba àmì-??y? wúrà àk??k?? w?n ní Olympic nínú b????lù agbáb????lù?",1992,1996,2000,"A fannin ?wallon ?afa, a wace shekara Najeriya ta lashe lambar zinare ta farko a gasar Olympics a ?wallon ?afa?",1992,1996,2000,"N'egwuregwu b??l?, n'af? ole ka Na?jir?a meriri ihe nrite ?laedo mb? ha n'egwuregwu olimpik n'egwuregwu b??l??",1992,1996,2000
Football trivia: Who won the 2013 Africa Cup of Nations?,Nigeria,Egypt,Senegal,A,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Ta ló gba ife ??y? Áfíríkà ti ?dún 2013?,Nigeria,Egypt,Senegal,Takaitattun Labarai Kan Kwallon Kafa: Wa Ya Lashe Kofin Kasashen Afirka Na 2013?,Nigeria,Egypt,Senegal,Ak?k? gbasara b??l?: Ònye meriri iko mba Afr?ka nke af? 2013?,Nigeria,Egypt,Senegal
Football trivia: Which African country does Nicolas Pepe represent?,Ivory Coast,Nigeria,Egypt,A,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Oríl??-èdè Áfíríkà wo ni Nicolas Pepe dúró fún?,Ivory Coast,Nigeria,Egypt,Takaitattun Labarai Kan Kwallon Kafa: Wace ?asa ce ta Afirka Nicolas Pepe ke wakilta?,Ivory Coast,Nigeria,Egypt,Ak?k? gbasara b??l?: Ked? mba Afr?ka ka Nicolas Pepe na-an?chite anya?,Ivory Coast,Nigeria,Egypt
Football trivia: What is the distance from the penalty spot to the goal line?,10 meters,11 meters,12 meters,C,easy,Àròjinl?? nípa b????lù aláf?s??gbá: Kí ni ìjìnnà láti ibi ìjìnl?? sí ibi tí w??n ti ? gbá b????lù?,10 meters,11 meters,12 meters,Takaitaccen Bayani Game da Kwallon Kafa: Menene nisan da ke tsakanin bugun fenariti zuwa layin raga?,10 meters,11 meters,12 meters,Ak?k? gbasara b??l?: Ked? anya d? site na ebe ntaramah?h? ruo ebe goolu d??,10 meters,11 meters,12 meters
Football trivia: What does VAR stand for?,Video Analysis Review,Video Assistant Referee,Virtual Assistance Replay,B,easy,Àròyé nípa b????lù aláf??s??gbá: Kí ni VAR dúró fún?,Video Analysis Review,Video Assistant Referee,Virtual Assistance Replay,Takaitattun Labarai Kan Kwallon Kafa: Menene ma'anar VAR?,Video Analysis Review,Video Assistant Referee,Virtual Assistance Replay,Nk?wa gbasara b??l?: G?n? ka VAR p?tara?,Video Analysis Review,Video Assistant Referee,Virtual Assistance Replay
Can you tell: Which country does Rodri represent?,Spain,Argentina,Brazil,A,easy,?é o lè s? fún mi: Oríl??-èdè wo ni Rodri ? ?ojú fún?,Spain,Argentina,Brazil,Za ku iya sani: Wace ?asa Rodri yake wakilta?,Spain,Argentina,Brazil,? nwere ike ?mata: Olee mba Rodri na-an?chite anya ya?,Spain,Argentina,Brazil
"In football, which country does robert lewandowski represent?",Poland,Argentina,Brazil,A,easy,"Nínú b????lù aláf??s??gbá, oríl??-èdè wo ni Robert Lewandowski dúró fún?",Poland,Argentina,Brazil,"A ?wallon ?afa, wace ?asa ce Robert Lewandowski ke wakilta?",Poland,Argentina,Brazil,"N'egwuregwu b??l?, kedu mba Robert Lewandowski na-an?chite anya?",Poland,Argentina,Brazil
"In football, who scored the fastest goal in world cup history?",Vaclav Masek,Hakan Sukur,Ernst Lehner,B,hard,"Nínú b????lù, ta ló gba b????lù tó yára jùl? nínú ìtàn ife àgbáyé?",Vaclav Masek,Hakan Sukur,Ernst Lehner,"A fagen ?wallon ?afa, wa ya zura ?wallo mafi sauri a tarihin gasar cin kofin duniya?",Vaclav Masek,Hakan Sukur,Ernst Lehner,"N'egwuregwu b??l?, ònye nyere goolu kachas? ?s? n'ak?k? ihe mere eme nke iko ?wa?",Vaclav Masek,Hakan Sukur,Ernst Lehner
Football trivia: How many goals did Miroslav Klose score in World Cup history?,14,16,18,B,hard,Àròjinl?? nípa b????lù aláf?s??gbá: Àw?n góólù mélòó ni Miroslav Klose gba nínú ìtàn ìdíje àgbáyé?,14,16,18,Takaitattun Labarai Kan Kwallon Kafa: Kwallaye nawa Miroslav Klose ya ci a tarihin Gasar Cin Kofin Duniya?,14,16,18,Ak?k? gbasara b??l?: Goolu ole ka Miroslav Klose nyere n'ak?k? ihe mere eme nke iko mba ?wa?,14,16,18
"In football, which country does alisson represent?",Brazil,Argentina,France,A,easy,"Nínú b????lù aláf??s??gbá, oríl??-èdè wo ni alisson dúró fún?",Brazil,Argentina,France,"A ?wallon ?afa, wace ?asa ce Alisson ke wakilta?",Brazil,Argentina,France,"N'egwuregwu b??l?, kedu mba Alisson na-an?chite anya?",Brazil,Argentina,France
Football trivia: What was Paul Pogba's transfer fee to Manchester United in 2016?,79 million pounds,89 million pounds,99 million pounds,B,hard,Àlàyé nípa b????lù aláf?s??gbá: Kí ni owó tí Paul Pogba gbà láti gbé l? sí Manchester United ní ?dún 2016?,79 million pounds,89 million pounds,99 million pounds,Takaitaccen Bayani Game da Kwallon Kafa: Nawa ne kudin canja wurin Paul Pogba zuwa Manchester United a shekarar 2016?,79 million pounds,89 million pounds,99 million pounds,Ak?k? gbasara b??l?: G?n? b? ego Paul Pogba ga-akw? na Manchester United n'af? 2016?,79 million pounds,89 million pounds,99 million pounds
"In football, who won the 2018 uefa champions league?",Real Madrid,Barcelona,Bayern Munich,A,medium,"Nínú b????lù, ta ló gba ìdíje UEFA Champions League ti ?dún 2018?",Real Madrid,Barcelona,Bayern Munich,"A fagen kwallon kafa, wa ya lashe gasar zakarun UEFA ta 2018?",Real Madrid,Barcelona,Bayern Munich,"N'egwuregwu b??l?, ònye meriri as?mpi UEFA Champions League nke af? 2018?",Real Madrid,Barcelona,Bayern Munich
Can you tell: How long is a football match including normal time?,80 minutes,90 minutes,100 minutes,B,easy,?é o lè s? pé: Báwo ni ìdíje b????lù agbáb????lù ?e máa p?? tó p??lú àkókò déédéé?,80 minutes,90 minutes,100 minutes,Za ku iya sani: Har yaushe wasan ?wallon ?afa yake har da lokacin da aka saba?,80 minutes,90 minutes,100 minutes,? nwere ike ?mata: Ogologo oge ole ka egwuregwu b??l? na-ewe ma e jiri ya t?nyere oge nk?t??,80 minutes,90 minutes,100 minutes
"In football, what is manchester city's nickname?",The Citizens,The Gunners,The Blues,A,medium,"Nínú b????lù aláf??s??gbá, kí ni orúk? àpèlé Manchester City?",The Citizens,The Gunners,The Blues,"A fannin ?wallon ?afa, menene sunan barkwanci na Manchester City?",The Citizens,The Gunners,The Blues,"N'egwuregwu b??l?, kedu aha a na-akp? Manchester City?",The Citizens,The Gunners,The Blues
"In football, what is the home stadium of manchester united?",Old Trafford,Emirates Stadium,Stamford Bridge,A,medium,"Nínú b????lù aláf??s??gbá, kí ni pápá ì?eré ìlú Manchester United?",Old Trafford,Emirates Stadium,Stamford Bridge,"A fagen ?wallon ?afa, menene filin wasan gida na manchester united?",Old Trafford,Emirates Stadium,Stamford Bridge,"N'egwuregwu b??l?, kedu ebe ama egwuregwu Manchester United d??",Old Trafford,Emirates Stadium,Stamford Bridge
Football trivia: What position does Vinicius Jr play?,Winger,Forward,Midfielder,A,easy,Àw?n ??r?? àròyé nípa b????lù aláf?s??gbá: Ipò wo ni Vinicius Jr ? kópa?,Winger,Forward,Midfielder,Takaitattun Labarai Kan Kwallon Kafa: Wane matsayi Vinicius Jr ke taka leda?,Winger,Forward,Midfielder,Ak?k? gbasara b??l?: Ked? ?n?d? Vinicius Jr. na-egwu?,Winger,Forward,Midfielder
Can you tell: Who won the 2012 Africa Cup of Nations?,Zambia,Nigeria,Egypt,A,medium,?é o lè s? fún mi: Ta ló gba ife ??y? Áfíríkà ti ?dún 2012?,Zambia,Nigeria,Egypt,Za ku iya fa?i: Wanene ya lashe gasar cin kofin ?asashen Afirka ta 2012?,Zambia,Nigeria,Egypt,? nwere ike ?mata: Ònye meriri iko mba Afr?ka nke af? 2012?,Zambia,Nigeria,Egypt
Football trivia: Who won the 2019 UEFA Champions League?,Liverpool,Real Madrid,Barcelona,A,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Ta ló gba UEFA Champions League ti ?dún 2019?,Liverpool,Real Madrid,Barcelona,Takaitattun Labarai Kan Kwallon Kafa: Wa Ya Lashe Gasar Zakarun Turai Ta UEFA Ta 2019?,Liverpool,Real Madrid,Barcelona,Ak?k? gbasara b??l?: Ònye meriri as?mpi UEFA Champions League nke af? 2019?,Liverpool,Real Madrid,Barcelona
"In football, what is wolves's nickname?",Wolves,The Gunners,The Blues,A,medium,"Nínú b????lù aláf??s??gbá, kí ni orúk? àpèlé ìkookò?",Wolves,The Gunners,The Blues,"A ?wallon ?afa, menene sunan barkwanci na kerkeci?",Wolves,The Gunners,The Blues,"N'egwuregwu b??l?, kedu aha a na-akp? nk?ta ?h?a?",Wolves,The Gunners,The Blues
Football trivia: Who won the 2006 FIFA World Cup?,Italy,Brazil,Germany,A,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Ta ló gba ife àgbáyé FIFA ti ?dún 2006?,Italy,Brazil,Germany,Takaitattun Labarai Kan Kwallon Kafa: Wa ya lashe Kofin Duniya na FIFA na 2006?,Italy,Brazil,Germany,Ak?k? gbasara b??l?: Ònye meriri iko mba ?wa nke FIFA nke af? 2006?,Italy,Brazil,Germany
"In football, who won the 2023 uefa champions league?",Manchester City,Real Madrid,Barcelona,A,medium,"Nínú b????lù, ta ló gba ìdíje UEFA Champions League ti ?dún 2023?",Manchester City,Real Madrid,Barcelona,"A fagen kwallon kafa, wa ya lashe gasar zakarun UEFA ta 2023?",Manchester City,Real Madrid,Barcelona,"N'egwuregwu b??l?, ònye meriri as?mpi UEFA Champions League nke af? 2023?",Manchester City,Real Madrid,Barcelona
Football trivia: What position does Luka Modric play?,Midfielder,Forward,Defender,A,easy,Àròyé nípa b????lù aláf?s??gbá: Ipò wo ni Luka Modric ? kópa?,Midfielder,Forward,Defender,Takaitattun Labarai Kan Kwallon Kafa: Wane matsayi Luka Modric ke taka leda?,Midfielder,Forward,Defender,Ak?k? gbasara b??l?: Ked? ?n?d? Luka Modric na-egwu?,Midfielder,Forward,Defender
Can you tell: Which Nigerian club won back-to-back CAF Champions League titles in 2003 and 2004?,Enyimba,Kano Pillars,Rangers,A,medium,?é o lè m??: ?gb?? wo ni Nàìjíríà ló gba àmì-??y? CAF Champions League l????k????kan ní ?dún 2003 àti 2004?,Enyimba,Kano Pillars,Rangers,Za ku iya sani: Wace ?ungiyar Najeriya ce ta lashe gasar zakarun CAF a jere a shekarun 2003 da 2004?,Enyimba,Kano Pillars,Rangers,? nwere ike ?mata: Ked? otu egwuregwu b??l? Na?jir?a meriri iko CAF Champions League ugboro ab?? n'af? 2003 na 2004?,Enyimba,Kano Pillars,Rangers
"In football, who won the 2014 uefa champions league?",Real Madrid,Barcelona,Bayern Munich,A,medium,"Nínú b????lù, ta ló gba ìdíje UEFA Champions League ti ?dún 2014?",Real Madrid,Barcelona,Bayern Munich,"A fagen kwallon kafa, wa ya lashe gasar zakarun UEFA ta 2014?",Real Madrid,Barcelona,Bayern Munich,"N'egwuregwu b??l?, ònye meriri as?mpi UEFA Champions League nke af? 2014?",Real Madrid,Barcelona,Bayern Munich
"In football, what was cristiano ronaldo's transfer fee from man united to real madrid?",70 million pounds,80 million pounds,90 million pounds,B,hard,"Nínú b????lù aláf??s??gbá, owó wo ni Cristiano Ronaldo gbà láti ??d?? Man United sí Real Madrid ?",70 million pounds,80 million pounds,90 million pounds,"A fannin ?wallon ?afa, nawa ne ku?in canja wurin Cristiano Ronaldo daga Man United zuwa Real Madrid?",70 million pounds,80 million pounds,90 million pounds,"N'egwuregwu b??l?, kedu ego ole ka Cristiano Ronaldo ji si Man United gaa Real Madrid?",70 million pounds,80 million pounds,90 million pounds
"In football, which country does son heung-min represent?",South Korea,Argentina,Brazil,A,easy,"Nínú b????lù aláf??s??gbá, oríl??-èdè wo ni son heung-min dúró fún?",South Korea,Argentina,Brazil,"?wallon ?afa, wace ?asa ce son heung-min ke wakilta?",South Korea,Argentina,Brazil,"N'egwuregwu b??l?, kedu obodo Son Heung-min na-an?chite anya?",South Korea,Argentina,Brazil
Football trivia: What position does Harry Kane play?,Striker,Forward,Midfielder,A,easy,Àw?n ??r?? pàtàkì nípa b????lù aláf?s??gbá: Ipò wo ni Harry Kane ? kópa?,Striker,Forward,Midfielder,Takaitattun Labarai Kan Kwallon Kafa: Wane matsayi Harry Kane ke taka leda?,Striker,Forward,Midfielder,Ak?k? gbasara b??l?: Ked? ?n?d? Harry Kane na-egwu?,Striker,Forward,Midfielder
"In football, what shirt number did thierry henry wear at arsenal?",9,12,14,C,easy,"Nínú b????lù aláf?s??gbá, n??mbà a?? wo ni Thierry Henry w?? ní Arsenal?",9,12,14,"A ?wallon ?afa, wace lamba ce Thierry Henry ya saka a Arsenal?",9,12,14,"N'egwuregwu b??l?, kedu n?mba uwe elu Thierry Henry yi na arsenal?",9,12,14
Can you tell: What nationality is manager Luis Enrique?,Spain,Germany,Italy,A,medium,?é o lè s?: Oríl??-èdè wo ni olùdarí Luis Enrique?,Spain,Germany,Italy,Za ku iya sani: Wace ?asa ce kocin Luis Enrique?,Spain,Germany,Italy,? nwere ike ?mata: Ked? mba onye njikwa b? Luis Enrique?,Spain,Germany,Italy
Can you tell: What nationality is manager Erik ten Hag?,Netherlands,Spain,Germany,A,medium,?é o lè s?: Oríl??-èdè wo ni olùdarí Erik ten Hag?,Netherlands,Spain,Germany,Za ku iya sani: Wace ?asa ce manaja Erik ten Hag?,Netherlands,Spain,Germany,? nwere ike ?mata: Ked? mba onye njikwa b? Erik ten Hag?,Netherlands,Spain,Germany
Can you tell: Which African country does Andre Onana represent?,Cameroon,Nigeria,Egypt,A,medium,?é o lè s? fún mi: Oríl??-èdè Áfíríkà wo ni Andre Onana dúró fún?,Cameroon,Nigeria,Egypt,Za ku iya fa?i: Wace ?asa ce ta Afirka Andre Onana ke wakilta?,Cameroon,Nigeria,Egypt,? nwere ike ?mata: Olee mba Afr?ka Andre Onana na-an?chite anya ya?,Cameroon,Nigeria,Egypt
Can you tell: Who won the 2022 UEFA Champions League?,Real Madrid,Barcelona,Bayern Munich,A,medium,?é o lè s? fún mi: Ta ló gba UEFA Champions League ti ?dún 2022?,Real Madrid,Barcelona,Bayern Munich,Za ku iya fa?i: Wanene ya lashe gasar zakarun Turai ta UEFA ta 2022?,Real Madrid,Barcelona,Bayern Munich,? nwere ike ?mata: Ònye meriri na 2022 UEFA Champions League?,Real Madrid,Barcelona,Bayern Munich
Can you tell: Who won the 2019 Africa Cup of Nations?,Algeria,Nigeria,Egypt,A,medium,?é o lè s? fún mi: Ta ló gba ife ??y? Áfíríkà ti ?dún 2019?,Algeria,Nigeria,Egypt,Za ku iya fa?i: Wanene ya lashe Kofin Kasashen Afirka na 2019?,Algeria,Nigeria,Egypt,? nwere ike ?mata: Ònye meriri iko mba Afr?ka nke af? 2019?,Algeria,Nigeria,Egypt
Can you tell: How many goals did Erling Haaland score in his debut Premier League season?,36,32,28,A,easy,?é o lè s?: Àw?n góólù mélòó ni Erling Haaland gba ní àsìkò àk??k?? r?? ní Premier League?,36,32,28,Za ku iya sani: Nawa ne kwallaye Erling Haaland ya ci a kakarsa ta farko a gasar Premier?,36,32,28,? nwere ike ?mata: Erling Haaland nyere goolu ole n'oge mb? ya na Premier League?,36,32,28
"In football, which nigerian goalkeeper held the record for most international caps?",Vincent Enyeama,Peter Rufai,Carl Ikeme,A,medium,"Nínú b????lù alágbáb????lù, agbáb????lù oríl??- èdè Nàìjíríà wo ló ní àk?síl?? fún ??p??l?p?? àw?n ìdíje àgbáyé?",Vincent Enyeama,Peter Rufai,Carl Ikeme,"A ?wallon ?afa, wane mai tsaron gida ne ?an Najeriya ya ri?e tarihin mafi yawan wasannin ?asa da ?asa?",Vincent Enyeama,Peter Rufai,Carl Ikeme,"N'egwuregwu b??l?, kedu onye nche goolu Na?jir?a nwere ndek? maka ?t?t? egwuregwu mba ?wa?",Vincent Enyeama,Peter Rufai,Carl Ikeme
Football trivia: What shirt number did Thierry Henry wear at Arsenal?,9,12,14,C,easy,Àròjinl?? nípa b????lù aláf?s??gbá: N??mbà a?? wo ni Thierry Henry w?? ní Arsenal?,9,12,14,Takaitattun Labarai Kan Kwallon Kafa: Wace lamba ce Thierry Henry ya saka a Arsenal?,9,12,14,Ak?k? gbasara b??l?: Ked? n?mba uwe elu Thierry Henry yi na Arsenal?,9,12,14
Football trivia: Which English club completed the treble in 1998-99?,Liverpool,Manchester United,Arsenal,B,easy,Àròjinl?? nípa b????lù aláf?s??gbá: ?gb?? G????sì wo ló parí ìdíje treble ní ?dún 1998-99?,Liverpool,Manchester United,Arsenal,Takaitattun Labarai Kan Kwallon Kafa: Wace kungiya ce ta Ingila ta lashe kofuna uku a kakar wasa ta 1998-99?,Liverpool,Manchester United,Arsenal,Ak?k? gbasara b??l?: Ked? kl?b? Bekee mezuru as?mpi at? ah? n'af? 1998-99?,Liverpool,Manchester United,Arsenal
Football trivia: In which city is Roma based?,Rome,Milan,Naples,A,medium,Àw?n ??r?? pàtàkì nípa b????lù aláf?s??gbá: Ìlú wo ni ìlú Roma wà?,Rome,Milan,Naples,Takaitattun Labarai Kan Kwallon Kafa: A wane birni ne Roma take da zama?,Rome,Milan,Naples,Ihe gbasara egwuregwu b??l?: Olee obodo nd? Rom bi?,Rome,Milan,Naples
"In football, in which city is juventus based?",Turin,Milan,Rome,A,medium,"Nínú b????lù, ìlú wo ni Juventus ti gbé?",Turin,Milan,Rome,"A fannin ?wallon ?afa, a wace birni ne juventus take da zama?",Turin,Milan,Rome,"N'egwuregwu b??l?, kedu obodo Juventus d??",Turin,Milan,Rome
Football trivia: What is the traditional goalkeeper jersey number?,1,12,25,A,easy,Àw?n ??r?? pàtàkì nípa b????lù aláf??s??gbá: Kí ni n??mbà a?? agbáb????lù àt?w??dá?,1,12,25,Takaitattun Labarai Kan Kwallon Kafa: Menene lambar rigar mai tsaron gida ta gargajiya?,1,12,25,Ihe gbasara egwuregwu b??l?: Kedu n?mba uwe onye nche goolu ?d?nala?,1,12,25
"In football, who won the 2022 fifa world cup?",Argentina,Brazil,Germany,A,medium,"Nínú b????lù aláf??s??gbá, ta ló gba ife àgbáyé FIFA ti ?dún 2022?",Argentina,Brazil,Germany,"?wallon ?afa, wa ya lashe gasar cin kofin duniya ta FIFA ta 2022?",Argentina,Brazil,Germany,"N'egwuregwu b??l?, ònye meriri iko ?wa nke FIFA nke af? 2022?",Argentina,Brazil,Germany
Can you tell: What color is shown for a direct red card?,Yellow,Red,Orange,B,easy,?é o lè s?: Àw?? wo ni a fi hàn fún káàdì pupa tààrà?,Yellow,Red,Orange,Za ku iya sani: Wane launi ne aka nuna don katin ja kai tsaye?,Yellow,Red,Orange,? nwere ike ?mata: Kedu agba e gosiri maka kaad? uhie kp?mkwem?,Yellow,Red,Orange
Football trivia: What position does Karim Benzema play?,Striker,Forward,Midfielder,A,easy,Àròjinl?? nípa b????lù aláf?s??gbá: Ipò wo ni Karim Benzema ? gbá?,Striker,Forward,Midfielder,Takaitattun Labarai Kan Kwallon Kafa: Wane matsayi Karim Benzema ke taka leda?,Striker,Forward,Midfielder,Ak?k? gbasara b??l?: Ked? ?n?d? Karim Benzema na-egwu?,Striker,Forward,Midfielder
"In football, who won the 2011 uefa champions league?",Barcelona,Real Madrid,Bayern Munich,A,medium,"Nínú b????lù, ta ló gba ìdíje UEFA Champions League ti ?dún 2011?",Barcelona,Real Madrid,Bayern Munich,"A fagen ?wallon ?afa, wa ya lashe gasar zakarun UEFA ta 2011?",Barcelona,Real Madrid,Bayern Munich,"N'egwuregwu b??l?, ònye meriri as?mpi UEFA Champions League nke af? 2011?",Barcelona,Real Madrid,Bayern Munich
Can you tell: Who won the 1994 FIFA World Cup?,Brazil,Germany,Italy,A,medium,?é o lè s? fún mi: Ta ló gba ife àgbáyé FIFA ti ?dún 1994?,Brazil,Germany,Italy,Za ku iya fa?i: Wanene ya lashe Kofin Duniya na FIFA na 1994?,Brazil,Germany,Italy,? nwere ike ?mata: Ònye meriri iko mba ?wa FIFA nke af? 1994?,Brazil,Germany,Italy
"In football, what is everton's nickname?",The Toffees,The Gunners,The Blues,A,medium,"Nínú b????lù aláf??s??gbá, kí ni orúk? àpèlé Everton?",The Toffees,The Gunners,The Blues,"A ?wallon ?afa, menene sunan barkwanci na Everton?",The Toffees,The Gunners,The Blues,"N'egwuregwu b??l?, kedu aha otutu Everton?",The Toffees,The Gunners,The Blues
Football trivia: Who won the 2021 Africa Cup of Nations?,Senegal,Nigeria,Egypt,A,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Ta ló gba ife ??y? Áfíríkà ti ?dún 2021?,Senegal,Nigeria,Egypt,Takaitattun Labarai Kan Kwallon Kafa: Wa Ya Lashe Kofin Kasashen Afirka Na 2021?,Senegal,Nigeria,Egypt,Ak?k? gbasara b??l?: Ònye meriri iko mba Afr?ka nke af? 2021?,Senegal,Nigeria,Egypt
Football trivia: What is the home stadium of West Ham?,London Stadium,Emirates Stadium,Stamford Bridge,A,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Kí ni pápá ì?eré West Ham?,London Stadium,Emirates Stadium,Stamford Bridge,Takaitattun Labarai Kan Wasan Kwallo: Menene filin wasan West Ham?,London Stadium,Emirates Stadium,Stamford Bridge,Ak?k? gbasara b??l?: G?n? b? ámá egwuregwu West Ham?,London Stadium,Emirates Stadium,Stamford Bridge
"In football, who won the 2008 africa cup of nations?",Egypt,Nigeria,Senegal,A,medium,"Nínú b????lù aláf??s??gbá, ta ló gba ife ??y? àw?n oríl??-èdè ní ?dún 2008 ti Africa ?",Egypt,Nigeria,Senegal,"A fagen kwallon kafa, wa ya lashe gasar cin kofin kasashen Afirka ta 2008?",Egypt,Nigeria,Senegal,"N'egwuregwu b??l?, ònye meriri iko mba Afr?ka nke af? 2008?",Egypt,Nigeria,Senegal
"In football, what position does rodri play?",Midfielder,Forward,Defender,A,easy,"Nínú b????lù, ipò wo ni Rodri ? gbá?",Midfielder,Forward,Defender,"A wasan ?wallon ?afa, wane matsayi ne Rodri ke taka leda?",Midfielder,Forward,Defender,"N'egwuregwu b??l?, kedu ?n?d? Rodri na-egwu?",Midfielder,Forward,Defender
"In football, who scored the 'aguero moment' goal in 2012?",David Silva,Yaya Toure,Sergio Aguero,C,easy,"Nínú b????lù aláf?s??gbá, ta ló gba góólù 'aguero moment' ní ?dún 2012?",David Silva,Yaya Toure,Sergio Aguero,"A ?wallon ?afa, wa ya ci ?wallon 'aguero moment' a shekarar 2012?",David Silva,Yaya Toure,Sergio Aguero,"N'egwuregwu b??l?, ònye nyere goolu 'aguero moment' n'af? 2012?",David Silva,Yaya Toure,Sergio Aguero
Football trivia: What is the capacity of the MKO Abiola National Stadium?,"40,000","60,000","80,000",B,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Báwo ni Pápá ì?eré MKO Abiola ti oríl??-èdè ?e lè tó?,"40,000","60,000","80,000",Takaitattun Labarai Kan Kwallon Kafa: Menene girman Filin Wasan Kasa na MKO Abiola?,"40,000","60,000","80,000",Ak?k? gbasara egwuregwu b??l?: Ked? ka ámá egwuregwu mba MKO Abiola si eru?,"40,000","60,000","80,000"
Football trivia: In which German city is RB Leipzig based?,Leipzig,Munich,Dortmund,A,medium,Àw?n ??r?? pàtàkì nípa b????lù aláf?s??gbá: Ìlú wo ní Germany ni RB Leipzig ti ? gbé?,Leipzig,Munich,Dortmund,Takaitattun Labarai Kan Kwallon Kafa: A wace birni ne a Jamus ake da cibiyar RB Leipzig?,Leipzig,Munich,Dortmund,Ak?k? gbasara b??l?: Olee obodo German ka RB Leipzig d??,Leipzig,Munich,Dortmund
Football trivia: Who won the 2022 FIFA World Cup?,Argentina,Brazil,Germany,A,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Ta ló gba ife àgbáyé FIFA ti ?dún 2022?,Argentina,Brazil,Germany,Takaitattun Labarai Kan Kwallon Kafa: Wa Ya Lashe Kofin Duniya Na FIFA Na 2022?,Argentina,Brazil,Germany,Ak?k? gbasara b??l?: Ònye meriri iko mba ?wa FIFA nke af? 2022?,Argentina,Brazil,Germany
Can you tell: In which German city is Bayern Munich based?,Munich,Dortmund,Leipzig,A,medium,?é o lè s? fún mi: Ìlú Germany wo ni Bayern Munich wà?,Munich,Dortmund,Leipzig,Za ku iya sani: A wane birni ne na Jamus ne Bayern Munich ke da hedikwata?,Munich,Dortmund,Leipzig,? nwere ike ?mata: Olee obodo d? na Germany nke Bayern Munich bi?,Munich,Dortmund,Leipzig
Football trivia: Who won the 2010 UEFA Champions League?,Inter Milan,Real Madrid,Barcelona,A,medium,Àròjinl?? nípa b????lù aláf?s??gbá: Ta ló gba UEFA Champions League ti ?dún 2010?,Inter Milan,Real Madrid,Barcelona,Takaitattun Labarai Kan Kwallon Kafa: Wa Ya Lashe Gasar Zakarun Turai Ta UEFA Ta 2010?,Inter Milan,Real Madrid,Barcelona,Ak?k? gbasara b??l?: Ònye meriri as?mpi UEFA Champions League nke af? 2010?,Inter Milan,Real Madrid,Barcelona
Can you tell: Which African country does Wilfried Zaha represent?,Ivory Coast,Nigeria,Egypt,A,medium,?é o lè s? fún mi: Oríl??-èdè Áfíríkà wo ni Wilfried Zaha dúró fún?,Ivory Coast,Nigeria,Egypt,Za ku iya sani: Wace ?asa ce ta Afirka Wilfried Zaha ke wakilta?,Ivory Coast,Nigeria,Egypt,? nwere ike ?mata: Olee mba Afr?ka Wilfried Zaha na-an?chite anya ya?,Ivory Coast,Nigeria,Egypt
